"name","airplay_count","shows_count"
"ROSALÍA",223,0
"Crowded House",223,1
"El Fantasma",223,7
"Jackson Dean",222,53
"Hozier",222,87
"Enrique Iglesias",221,22
"Nelly Furtado",220,4
"The B-52's",219,6
"Lenny Kravitz",219,19
"V.A",219,0
"Black Eyed Peas",219,3
"Uncle Kracker",218,26
"La Adictiva",217,2
"INXS",217,0
"La Arrolladora Banda El Limón De Rene Camacho",215,0
"Earth, Wind & Fire",214,53
"Bill Medley",214,0
"Bobby Brown",213,3
"Kool & The Gang",213,25
"Garth Brooks",213,20
"Gerardo Coronel",212,4
"Creedence Clearwater Revival",211,0
"Burl Ives",211,0
"Nickelback",211,26
"Bananarama",211,2
"Brett Young",208,46
"Shawn Mendes",208,1
"The Romantics",206,0
"Depeche Mode",206,9
"Rush",206,1
"Old Dominion",205,74
"Elena Rose",204,1
"Los Bukis",204,5
"Culture Club",203,0
"Santana",203,70
"Evanescence",202,9
"Fall Out Boy",202,31
"Spin Doctors",202,42
"Burna Boy",201,14
"Johnny Mathis",201,18
"Jennifer Lopez",201,7
"Reik",200,26
"Los Huracanes Del Norte",199,11
"Gerardo Ortiz",199,4
"John Waite",199,71
"Foo Fighters",198,10
"Ellie Goulding",195,0
"Lenny Tavárez",195,0
"Coldplay",195,30
"Dexys Midnight Runners",194,0
"Los Rieleros Del Norte",194,7
"Lil Baby",193,23
"Lewis Capaldi",193,0
"Dasha",193,40
"The Killers",192,10
"The Notorious B.I.G.",191,0
"Dylan Marlowe",189,55
"Natalie Imbruglia",188,6
"DJ Snake",187,6
"Trans-Siberian Orchestra",187,58
"Sixpence None The Richer",185,29
"Vince Guaraldi Trio",185,0
"Dean Martin",185,0
"Phil Wickham",185,55
"Christian Nodal",185,3
"310babii",184,1
"Yes",183,0
"Air Supply",183,77
"Meghan Patrick",183,14
"Ezequiel Peña",183,1
"The Cure",180,0
"T.I.",179,11
"Quiet Riot",178,13
"The Offspring",177,64
"Europe",176,2
"Gene Autry",176,0
"Darell",175,1
"Haddaway",175,1
"Don Omar",175,23
"Dj Agus Lima",175,0
"Alejandro Fernandez",174,29
"Brenda Lee",173,0
"Chris Janson",173,38
"Supertramp",172,0
"MercyMe",172,52
"Montell Jordan",172,4
"Tracy Chapman",171,0
"Boston",171,0
"Gloria Gaynor",170,1
"Martina McBride",170,16
"Pharrell Williams",170,0
"Styx",170,95
"Mustard",170,2
"Darius Rucker",170,36
"Deniece Williams",168,0
"MANA",168,37
"Toni Braxton",166,9
"Piso 21",165,0
"Alfredo Olivas",164,0
"Sam Smith",164,0
"The Clash",164,0
"Billy Currington",163,51
"Rocko Ballin",163,0
"Sech",162,2
"Collective Soul",162,55
"Gavin Adcock",161,86
"The Who",160,2
"DJ Godfather",160,0
"Mark Ronson",159,0
"Zion & Lennox",159,0
"Warren Zeiders",159,116
"BigXThaPlug",159,44
"Beastie Boys",158,0
"Alphaville",158,0
"Conjunto Primavera",157,9
"Sugar Ray",157,1
"Tyga",157,21
"The Cardigans",157,0
"Train",156,48
"OneRepublic",156,20
"Sean Paul",155,40
"John Legend",154,46
"Brooks & Dunn",154,42
"Black Sabbath",152,1
"Mannheim Steamroller",152,51
"Tate McRae",151,72
"Steve Perry",151,0
"Ne-Yo",150,22
"Spandau Ballet",150,0
"Luis Miguel",150,37
"The Black Crowes",149,41
"Rodney Atkins",149,24
"Murray Head",149,0
"DJ Gian",148,0
"Bad Company",148,0
"Louis BPM",148,0
"Fergie",147,0
"Dead Or Alive",147,0
"Drew Baldridge",147,41
"Tommy Tutone",147,9
"Los Angeles Azules",146,41
"Yuridia",144,3
"Carpenters",144,0
"Guaynaa",144,0
"Coco Jones",144,40
"Boza",144,0
"Alice in Chains",143,13
"Toni Basil",143,0
"Dan Hartman",143,0
"Club Nouveau",142,0
"OhGeesy",142,3
"THE HILLS BOYS",142,0
"Harry Connick Jr.",141,16
"Blueface",141,1
"Bob Marley",141,0
"Nat King Cole",141,0
"BlueBucksClan",140,9
"Blind Melon",140,6
"Rayvon",140,0
"Lauren Daigle",139,54
"Rod Stewart",139,52
"Seal",139,1
"Oscar Maydon",138,18
"Tyla",138,14
"Charlie Puth",138,0
"T-Pain",138,42
"All-4-One",138,3
"4 Non Blondes",137,10
"Grupo Firme",137,9
"Julión Álvarez Y Su Norteño Banda",137,0
"Zach Williams",137,81
"Prince & The Revolution",136,0
"The Smashing Pumpkins",136,6
"Gotye",136,0
"Jackson 5",136,0
"Vanessa Carlton",136,1
"Bonnie Tyler",135,1
"DJ Khaled",134,3
"Kid Rock",133,32
"Rick Ross",133,25
"Donna Summer",133,0
"Kelsea Ballerini",132,19
"TobyMac",131,42
"Chaka Khan",130,27
"Alemi Bustos",130,0
"Rick James",129,0
"Rema",129,13
"Soundgarden",129,0
"Avril Lavigne",129,37
"Ava Max",129,1
"Darlene Love",129,5
"B.o.B",129,0
"Kim Carnes",127,0
"DJ Patamix",127,0
"Wilson Phillips",127,3
"Rigo Tovar",127,0
"Tone-Loc",127,4
"Muni Long",127,11
"Extreme",125,20
"NATTI NATASHA",125,0
"The Ronettes",125,0
"Emilia",125,1
"M-Beat",125,0
"Duelo",124,4
"Camila Cabello",124,4
"Ciara",124,2
"Kenny G",124,25
"Flo Rida",124,23
"The Chainsmokers",124,50
"Ty Myers",123,42
"Smash Mouth",123,2
"Oasis",123,37
"Willie Nelson",122,68
"Fun",122,0
"Michael Sembello",121,0
"The Doors",121,0
"The Fray",121,49
"Harry Styles",120,0
"The Kid LAROI",120,9
"Renzo Pianciola",120,0
"Jay Wheeler",120,7
"Halsey",120,34
"Savage Garden",120,0
"Megan Thee Stallion",120,28
"Taio Cruz",120,0
"Jeremy Camp",119,39
"Totò",118,0
"Gerardo Reyes",118,0
"Mark Morrison",118,0
"Live",118,37
"Meghan Trainor",116,3
"Diddy",116,0
"Jake Owen",116,38
"Cardenales de Nuevo León",116,2
"Natasha Bedingfield",116,17
"Jenni Rivera",116,0
"Max McNown",115,29
"DJ Joao",115,0
"PartyNextDoor",115,6
"Ray Conniff",115,0
"50 Cent",114,20
"Wiz Khalifa",114,27
"Latto",114,4
"Semisonic",114,18
"DJ Collins",113,0
"Sade",113,1
"Pet Shop Boys",113,2
"Cher",113,0
"ATL Jacob",113,0
"Alex Warren",112,63
"Wang Chung",112,39
"Leona Lewis",112,0
"Javier Solís",112,0
"Carlos Vives",111,1
"Bush",111,59
"Banda El Recodo",111,10
"Dire Straits",111,1
"Pretenders",110,0
"MOLIY",110,0
"Sombr",110,21
"Ricky Martin",109,21
"Chris Tomlin",109,26
"Real Boston Richey",109,8
"Lindsey Stirling",108,12
"Justin Quiles",108,5
"Katelyn Brown",108,0
"DaBaby",108,10
"Twenty One Pilots",108,16
"Jason Derulo",108,7
"Pesado",108,4
"Big Mountain",108,6
"Magic!",107,1
"Bobby Helms",107,0
"Snoop Dogg",107,13
"Male Meniw",107,0
"Crowder",107,1
"Elevation Worship",107,9
"Javier Rosas Y Su Artillería Pesada",106,0
"Panic! At The Disco",106,2
"The Drifters",106,15
"Nena",105,4
"Turnpike Troubadours",105,55
"Rob Thomas",105,3
"Darius Botha",105,0
"Missy Elliott",105,4
"Sexyy Red",105,27
"Vanilla Ice",105,5
"Cornelio Reyna",104,0
"Kanye West",104,9
"Morat",104,16
"Ayudantes del Rancho",103,0
"MC Vibz",103,0
"Josiah Queen",103,28
"Pedro Fernandez",103,25
"The Proclaimers",103,0
"Radiohead",103,0
"Stray Cats",102,0
"El Coyote Y Su Banda Tierra Santa",102,0
"Jay-Z",102,0
"Roddy Ricch",101,0
"Đang Cập Nhật",101,0
"Manfred Mann's Earth Band",101,0
"Pop Smoke",101,0
"Miguel",101,2
"Tiffany",101,5
"New Order",101,2
"Micah Tyler",100,1
"Jeremih",100,10
"Preston Cooper",100,9
"The Beach Boys",100,84
"Hallotian",100,0
"TEMS",100,8
"Gnarls Barkley",100,0
"Randy Houser",100,25
"Jack Harlow",99,3
"Mitchell Tenpenny",99,65
"Coolio",99,0
"Rvssian",99,0
"Jhayco",98,3
"Blue Öyster Cult",98,6
"Travis Scott",98,25
"The Wailers",98,45
"Huey Lewis & The News",98,0
"Jesse & Joy",98,2
"Yng Lvcas",98,0
"J. Balvin",98,0
"The All-American Rejects",98,36
"Asia",97,6
"Free",97,2
"Clarent",96,0
"Normani",96,1
"Marco Antonio Solis",96,2
"Luis Fonsi",96,1
"38 Special",96,53
"Keith Nieto",96,0
"Los Ballers",96,0
"Playboi Carti",95,77
"Donna Lewis",95,0
"J.I.D",95,31
"Bizarrap",94,4
"Lyanno",94,0
"George Thorogood & The Destroyers",94,69
"Lupe Borbon y su Blindaje 7",94,0
"Gym Class Heroes",94,2
"Loverboy",94,11
"Carly Pearce",93,72
"Perry Como",93,0
"Skid Row",93,24
"Jessi Uribe",93,4
"Lorde",93,0
"Incubus",93,23
"BRUNO MATEUS",93,0
"DJ Crazy J Rodriguez",93,0
"Shenseea",93,0
"MC Hammer",93,0
"Wale",93,6
"John Lennon",92,0
"Edwin McCain",92,68
"Lil Uzi Vert",92,2
"KISS",92,6
"Silent Addy",92,1
"Akon",92,4
"Los Relampagos Del Norte",92,0
"Katy Nichole",92,5
"Marvin Gaye",91,0
"Espen Fahlen",90,0
"Paramore",90,0
"Matthew West",90,14
"Eddy Grant",90,0
"Ayra Starr",89,11
"The Calling",89,1
"Jazmine Sullivan",89,2
"Lit",89,8
"Banda Carnaval",89,2
"Wings",89,0
"Thomas Jack Robson",89,0
"The Lumineers",89,59
"Alice Cooper",89,31
"Brian McKnight",88,17
"Ricardo Ducent",88,0
"L.V.",88,0
"Gorillaz",88,0
"Billie Eilish",87,24
"Richard Marx",87,22
"Thin Lizzy",87,0
"Moise Duguet",87,0
"Los Cadetes De Linares",87,1
"Blackstreet",87,1
"Mario",87,25
"Sonora Santanera",87,2
"Coach Alvarado",87,0
"Billy Squier",87,0
"Seph Schlueter",86,2
"La Alianza Norteña",86,0
"Espinoza Paz",86,0
"Tauren Wells",86,10
"Skillibeng",86,1
"Yahritza Y Su Esencia",86,2
"Elvis Presley",86,0
"Ja Rule",86,47
"Codiciado",85,8
"Ke$ha",85,0
"matchbox twenty",85,2
"for KING & COUNTRY",85,12
"Monica",85,49
"Young Miko",85,11
"Brantley Gilbert",85,53
"Technotronic",85,0
"The Commodores",85,23
"7美人",84,0
"K-Ci",84,1
"小奶瓶",84,0
"珊姐",84,0
"Paquita la del Barrio",84,6
"Trisha Yearwood",84,9
"Chayito Valdez",84,0
"Tom Cochrane",84,2
"Marisela",84,20
"Chuck Berry",84,0
"Las Jilguerillas",83,0
"Tonic",83,1
"Coi Leray",83,7
"Emamu Raja",83,0
"Ginuwine",83,40
"Brad Paisley",83,26
"Los Tucanes De Tijuana",82,26
"Jo Tyler",82,0
"Eli Young Band",82,28
"Los Humildes",82,0
"José Feliciano",82,9
"Cain",82,23
"The J. Geils Band",81,1
"Nate Ruess",81,0
"Cerberus Circuitbreaker",81,0
"Anne-Marie",80,0
"Eve",80,36
"Reggaetones",80,0
"Gabby Barrett",80,12
"Taylor Dayne",80,24
"Glass Animals",80,30
"Majo Aguilar",80,1
"Dr. Dre",80,0
"Gin Blossoms",80,51
"Anderson .Paak",80,5
"Banda Los Sebastianes De Saúl Plata",79,0
"Beatriz Adriana",79,10
"Colbie Caillat",79,9
"Jo Dee Messina",78,31
"Nio Garcia",78,0
"Offset",78,20
"don vito",78,0
"The Commission",78,0
"Debbie Deb",78,0
"David Foster",77,46
"Michael Bolton",77,7
"Silk Sonic",77,0
"Bob Marley & The Wailers",76,0
"New Edition",76,7
"Young Thug",76,1
"Lorenzo de Monteclaro",76,11
"Thompson Twins",76,4
"24kGoldn",75,3
"Dazz Band",75,1
"Sum 41",75,23
"Relaxing Music",75,0
"Jon Reddick",75,34
"Creed",75,31
"Lucha Villa",75,0
"Real McCoy",75,0
"Tony Bennett",75,0
"Los Dos De Tamaulipas",75,3
"Victoria Monét",75,5
"Vincent Mason",75,59
"Lloyd",75,11
"Walker Hayes",74,32
"George Merrill",74,0
"Eric Clapton",74,7
"Ryan Castro",74,3
"Zeddy Will",74,0
"Shannon Rubicam",74,0
"We Are Messengers",74,16
"Rufus",74,0
"Chelo",74,12
"The White Stripes",74,0
"Grupo Cañaveral De Humberto Pabón",73,0
"Tasha Layton",73,29
"The Revolution",73,0
"Tito Double P",73,22
"Hoobastank",73,9
"Chase Rice",73,60
"Sarah McLachlan",73,28
"Banda Machos",73,16
"Alleh",72,0
"Andrew Ripp",72,3
"Staind",72,42
"Colton Dixon",72,7
"Bebe Rexha",72,4
"Forrest Frank",72,29
"Van Morrison",72,15
"Yorghaki",72,0
"DJ Suede The Remix God",71,0
"Brandy",71,1
"Luther Vandross",71,0
"Jamie Foxx",70,0
"Maria Becerra",70,1
"Joe Nichols",70,21
"DJ Myte",70,0
"Carlos Y Jose",70,0
"Mora",69,9
"Gary Allan",69,53
"ButtonSmash",69,0
"Clint Black",69,65
"Irene Cara",69,0
"Travis Tritt",68,69
"Ivan Cornejo",68,35
"Wade Bowen",68,18
"Madness",68,14
"Wisin & Yandel",68,0
"Peter Frampton",68,40
"Alex Fernández",68,0
"Little Big Town",67,31
"Tyler Childers",67,59
"Jackson Pierce",67,0
"Loe Shimmy",67,17
"George Thorogood",67,24
"The Ray Conniff Singers",67,0
"Big Daddy Weave",67,9
"Grupo Recluta",67,0
"Ben Fuller",66,17
"Randy Travis",66,39
"Janet Jackson",66,34
"Patrick Swayze",66,0
"112",66,11
"Frankie Goes to Hollywood",66,0
"Joan Jett",65,0
"Anitta",65,3
"Los Temerarios",65,0
"Lifehouse",65,2
"Simply Red",65,26
"MoneyBagg Yo",64,6
"Chumbawamba",64,0
"Pedro Infante",64,0
"SWV",64,14
"Christina Perri",64,0
"Chalino Sanchez",64,0
"Flippa T",64,0
"Randy Rogers Band",64,24
"C. Tangana",64,0
"Everclear",63,75
"Jamie MacDonald",63,0
"Alannah Myles",63,0
"Lonestar",63,19
"Casting Crowns",63,31
"Snow Patrol",63,33
"Ty Dolla $ign",63,11
"Madella Clinton",63,0
"Mon Laferte",63,17
"Rawayana",63,24
"Wizkid",62,7
"Grupo Arriesgado",62,1
"Keyshia Cole",62,36
"Los Dos Oros",62,0
"Miguel Y Miguel",62,0
"Leroy Anderson",62,0
"Matthew Wilder",62,0
"Pancho Barraza",62,16
"Tommy Richman",61,13
"Puddle Of Mudd",61,2
"The Doobie Brothers",61,37
"Banda MS de Sergio Lizárraga",61,0
"Jason Mraz",61,12
"Brett Eldredge",61,11
"James Barker Band",60,14
"NandoVVS",60,0
"Zedd",60,25
"Jimi Hendrix",60,1
"Ela Taubert",60,0
"Lauren Alaina",59,15
"Los Freddy's",59,0
"Central Cee",59,31
"DNA",59,0
"Macklemore",59,7
"Anne Wilson",59,19
"Night Ranger",59,36
"KC and The Sunshine Band",59,32
"Andy Gibb",58,0
"Avicii",58,0
"Presley Haile",58,0
"Terrian",58,5
"Edison",58,0
"Debbie Harry",58,0
"Jimmy Cliff",58,0
"Warrant",58,31
"Lauv",57,1
"Steppenwolf",57,0
"NBA YoungBoy",57,0
"My Chemical Romance",57,13
"Jet",57,17
"Ryan Lewis",56,2
"Liberacion",56,4
"Leanna Crawford",56,14
"Des'ree",56,0
"Blessing Offor",56,19
"Amalia Mendoza",56,0
"Banda Los Sebastianes",56,0
"Tame Impala",56,0
"Flo Milli",56,20
"Danny Gokey",56,8
"Harry Parker",56,0
"Great White",56,22
"El Poder del Norte",55,0
"Fat Joe",55,6
"Spice Girls",55,0
"Gerardo Diaz y Su Gerarquia",55,0
"Calvin Harris",55,0
"Peter Schilling",55,0
"John Tesh",55,7
"Chiquis",55,0
"Ana Barbara",54,3
"Nathy Peluso",54,3
"W Sound",54,0
"Giovanny Ayala",54,0
"Zach Bryan",54,58
"Los Mentados de Culiacán",54,0
