"venue_name","venue_city","venue_state","venue_capacity","total_events","prime_night_events","off_night_events","prime_night_share","off_night_share"
"Mayo Performing Arts Center","Morristown","NJ",1302,110,65,45,59.09,40.91
"Bruce Mason Centre","Takapuna",NULL,NULL,22,13,9,59.09,40.91
"Murmrr Ballroom","Brooklyn","NY",NULL,22,13,9,59.09,40.91
"Unipol Arena","Bologna",NULL,11000,22,13,9,59.09,40.91
"Kings Park","Perth","WA",NULL,22,13,9,59.09,40.91
"Six Flags Fiesta Texas","San Antonio","Texas",0,66,39,27,59.09,40.91
"Electric Fetus","Minneapolis","Minnesota",0,22,13,9,59.09,40.91
"Good Room","New York","New York",0,22,13,9,59.09,40.91
"Budweiser Events Center","Loveland","CO",NULL,22,13,9,59.09,40.91
"Mesa Amphitheater","Mesa","AZ",5500,22,13,9,59.09,40.91
"Jazz Station","Brussels",NULL,NULL,22,13,9,59.09,40.91
"Prime Hall","Minsk",NULL,NULL,22,13,9,59.09,40.91
"Prinzregententheater","Munich",NULL,NULL,44,26,18,59.09,40.91
"Elsinore Theatre","Salem","Oregon",0,22,13,9,59.09,40.91
"Le Brass, Centre Culturel Forest","Brussels",NULL,NULL,22,13,9,59.09,40.91
"Bridlington Spa","Bridlington",NULL,NULL,22,13,9,59.09,40.91
"Yuyintang Park","Shanghai",NULL,NULL,22,13,9,59.09,40.91
"WorkPlay Theatre","Birmingham","AL",450,66,39,27,59.09,40.91
"Kunstverein","Nuremberg",NULL,NULL,22,13,9,59.09,40.91
"The Grand Opera House","Wilmington","DE",NULL,22,13,9,59.09,40.91
"The Government Center","Pittsburgh","PA",NULL,44,26,18,59.09,40.91
"Toinha Brasil Show","Brasilia",NULL,NULL,22,13,9,59.09,40.91
"Thompson's Point","Portland","Maine",5000,176,104,72,59.09,40.91
"Martinskirche","Basel",NULL,NULL,22,13,9,59.09,40.91
"Sports and Music Center","Indianapolis","Indiana",0,22,13,9,59.09,40.91
"Roundhouse, UNSW","Kensington","NSW",NULL,22,13,9,59.09,40.91
"Felton Music Hall","Felton","California",0,22,13,9,59.09,40.91
"stable hall","San Antonio","Texas",0,22,13,9,59.09,40.91
"The Auditorium Theatre","Chicago","Illinois",0,22,13,9,59.09,40.91
"East Side Club","Philadelphia","Pennsylvania",0,22,13,9,59.09,40.91
"Oneida Casino","Green Bay","Wisconsin",0,22,13,9,59.09,40.91
"Refinery Gallery","Bratislava",NULL,NULL,22,13,9,59.09,40.91
"Cullen Performance Hall, University of Houston","Houston","Texas",0,22,13,9,59.09,40.91
"Mountain Health Arena","Charleston","West Virginia",0,44,26,18,59.09,40.91
"Henry Tudor House","Shrewsbury",NULL,NULL,22,13,9,59.09,40.91
"Dok","Ghent",NULL,NULL,22,13,9,59.09,40.91
"SpardaWelt Freilichtbühne Killesberg","Stuttgart",NULL,NULL,22,13,9,59.09,40.91
"Colonial Theatre","Keene","New Hampshire",0,22,13,9,59.09,40.91
"Les Passagers du Zinc (PDZ)","Besançon",NULL,NULL,22,13,9,59.09,40.91
"Rockwell Miami","Miami Beach","FL",NULL,44,26,18,59.09,40.91
"Aftershock","Merriam","KS",NULL,22,13,9,59.09,40.91
"Kia Forum","Inglewood","California",0,1415,836,579,59.08,40.92
"Montage Music Hall","Rochester","NY",NULL,193,114,79,59.07,40.93
"The Masonic","San Francisco","CA",NULL,171,101,70,59.06,40.94
"The Plaza Live","Orlando","FL",NULL,171,101,70,59.06,40.94
"City Winery DC","Washington","DC",NULL,503,297,206,59.05,40.95
"Jones Beach Marine Theater","Wantagh","New York",15000,293,173,120,59.04,40.96
"Our Wicked Lady","Brooklyn","NY",NULL,122,72,50,59.02,40.98
"House of Blues - Dallas","Dallas","TX",1600,344,203,141,59.01,40.99
"Granada Theatre","Lawrence","KS",1700,322,190,132,59.01,40.99
"Ogden Theatre","Denver","CO",1600,544,321,223,59.01,40.99
"Sands Showroom, Venetian Casino, Hotel & Resort","Las Vegas","NV",1500,400,236,164,59.00,41.00
"Cervantes' Other Side","Denver","CO",400,361,213,148,59.00,41.00
"Maine Savings Amphitheater","Bangor","Maine",15000,261,154,107,59.00,41.00
"The New Parish","Oakland","CA",NULL,373,220,153,58.98,41.02
"Madam Felle","Bergen",NULL,NULL,39,23,16,58.97,41.03
"Asbury Park Brewery","Asbury Park","NJ",NULL,78,46,32,58.97,41.03
"Adelaide Entertainment Centre","Adelaide","SA",NULL,39,23,16,58.97,41.03
"Zone One, Elsewhere","Brooklyn","NY",NULL,234,138,96,58.97,41.03
"Sunrise Musical Theater","Sunrise","Florida",0,156,92,64,58.97,41.03
"The Night Owl","Birmingham",NULL,300,39,23,16,58.97,41.03
"Lawn at White River","Indianapolis","Indiana",0,39,23,16,58.97,41.03
"Barnato","Omaha","Nebraska",0,39,23,16,58.97,41.03
"Concord Pavilion","Concord","California",0,758,447,311,58.97,41.03
"The Crying Wolf","Nashville","TN",NULL,39,23,16,58.97,41.03
"Nosturi","Helsinki",NULL,NULL,39,23,16,58.97,41.03
"Salle André-Mathieu","Laval","QC",NULL,39,23,16,58.97,41.03
"Prince Albert","Stroud",NULL,150,39,23,16,58.97,41.03
"The Club at Water Street","Rochester","New York",0,39,23,16,58.97,41.03
"El Gran Cafe","León",NULL,NULL,39,23,16,58.97,41.03
"De Oosterpoort","Groningen",NULL,1150,251,148,103,58.96,41.04
"Mercury Ballroom","Louisville","KY",1000,285,168,117,58.95,41.05
"229","London",NULL,620,151,89,62,58.94,41.06
"Musikens Hus","Gothenburg",NULL,NULL,56,33,23,58.93,41.07
"Aura","Portland","Maine",0,280,165,115,58.93,41.07
"Conduit","Winter Park","Florida",0,56,33,23,58.93,41.07
"Royal & Derngate Theatre","Northampton",NULL,583,56,33,23,58.93,41.07
"Teragram Ballroom","Los Angeles","CA",NULL,375,221,154,58.93,41.07
"Atlas","Kyiv (Kiev)",NULL,1300,56,33,23,58.93,41.07
"The Venue","Derby",NULL,NULL,56,33,23,58.93,41.07
"Davis Park","Rockford","Illinois",0,56,33,23,58.93,41.07
"Adults Only","Hollywood","CA",NULL,56,33,23,58.93,41.07
"Prudential Center","Newark","New Jersey",19500,881,519,362,58.91,41.09
"Time Warner Cable Music Pavilion at Walnut Creek","Raleigh","North Carolina",0,348,205,143,58.91,41.09
"John Anson Ford Amphitheatre","Los Angeles","California",0,129,76,53,58.91,41.09
"Amplified Live","Dallas","TX",NULL,129,76,53,58.91,41.09
"Northside Yacht Club","Cincinnati","OH",NULL,73,43,30,58.90,41.10
"MS Stubnitz","Hamburg",NULL,NULL,90,53,37,58.89,41.11
"1oak at Mirage","Las Vegas","NV",NULL,107,63,44,58.88,41.12
"The Workman's Club","Dublin",NULL,NULL,197,116,81,58.88,41.12
"Viejas Arena","San Diego","California",0,428,252,176,58.88,41.12
"Hi-Dive","Denver","CO",300,406,239,167,58.87,41.13
"Biltmore Cabaret","Vancouver","BC",NULL,282,166,116,58.87,41.13
"The Space","Hamden","Connecticut",0,192,113,79,58.85,41.15
"The Southern Café and Music Hall","Charlottesville","VA",NULL,238,140,98,58.82,41.18
"King Cat Theater","Seattle","Washington",7000,34,20,14,58.82,41.18
"Live Club Barmen","Wuppertal",NULL,NULL,34,20,14,58.82,41.18
"Mecu Pavilion (formerly Pier Six Pavilion)","Baltimore","MD",NULL,68,40,28,58.82,41.18
"The Edge","Augusta","Maine",0,34,20,14,58.82,41.18
"Carl's Tavern","New Haven","IN",NULL,34,20,14,58.82,41.18
"The Hollow","Albany","NY",NULL,85,50,35,58.82,41.18
"Summit","Denver","CO",NULL,68,40,28,58.82,41.18
"La Rodia","Besançon",NULL,NULL,68,40,28,58.82,41.18
"The Blue Room","Statesboro","GA",NULL,34,20,14,58.82,41.18
"Fort Worth Convention Center","Dallas","Texas",0,34,20,14,58.82,41.18
"Cadence Bank Amphitheatre at Chastain Park","Atlanta","Georgia",0,493,290,203,58.82,41.18
"Elevation at The Intersection","Grand Rapids","Michigan",0,68,40,28,58.82,41.18
"Grass Valley Center for the Arts","Grass Valley","CA",300,34,20,14,58.82,41.18
"Atlanta Room, Smith's Olde Bar","Atlanta","GA",100,102,60,42,58.82,41.18
"The Shrine","Tulsa","OK",200,51,30,21,58.82,41.18
"Interstate Center","Bloomington","Illinois",0,34,20,14,58.82,41.18
"Temple Theatre, Tacoma's Landmark Convention Center","Tacoma","Washington",0,51,30,21,58.82,41.18
"Mr. Smalls","Pittsburgh","PA",NULL,34,20,14,58.82,41.18
"L'Astrolabe","Orléans",NULL,NULL,68,40,28,58.82,41.18
"Orlando Arena","Orlando","Florida",0,153,90,63,58.82,41.18
"Copper Owl","Victoria","BC",NULL,34,20,14,58.82,41.18
"Trans-Pecos","Ridgewood","NY",NULL,308,181,127,58.77,41.23
"Kulturbolaget","Malmö",NULL,NULL,114,67,47,58.77,41.23
"clubCANN","Stuttgart",NULL,NULL,114,67,47,58.77,41.23
"Main Room, The Gov","Hindmarsh","SA",NULL,291,171,120,58.76,41.24
"The 1865","Southampton",NULL,NULL,160,94,66,58.75,41.25
"O2 Academy Oxford","Oxford",NULL,1020,257,151,106,58.75,41.25
"Old Forester's Paristown Hall","Louisville","Kentucky",2000,80,47,33,58.75,41.25
"Radio City Music Hall","New York (NYC)","NY",6015,63,37,26,58.73,41.27
"Constellation Brands - Marvin Sands PAC (CMAC)","Canandaigua","New York",15000,63,37,26,58.73,41.27
"Wildwood Smokehouse and Saloon","Iowa City","IA",NULL,126,74,52,58.73,41.27
"The Fillmore Auditorium","San Francisco","California",0,63,37,26,58.73,41.27
"Pub Station Ballroom","Billings","MT",NULL,109,64,45,58.72,41.28
"The Woodlands Tavern","Columbus","OH",300,310,182,128,58.71,41.29
"Skyline Stage, Mann Center for the Performing Arts","Philadelphia","PA",NULL,46,27,19,58.70,41.30
"Bellco Theatre","Denver","CO",NULL,46,27,19,58.70,41.30
"The Bassment","Saskatoon","SK",NULL,92,54,38,58.70,41.30
"Sticky Fingerz Rock 'N' Roll Chicken Shack","Little Rock","AR",NULL,46,27,19,58.70,41.30
"Blues Alley","Washington","DC",NULL,92,54,38,58.70,41.30
"Egyptian Room, Old National Centre","Indianapolis","IN",2000,184,108,76,58.70,41.30
"Enmore Theatre","Newtown","NSW",NULL,184,108,76,58.70,41.30
"Chameleon Club","Lancaster","PA",750,259,152,107,58.69,41.31
"Metro Theatre","Sydney","NSW",1500,213,125,88,58.69,41.31
"Beauty Bar","Las Vegas","NV",NULL,75,44,31,58.67,41.33
"Ford Amphitheatre","Tampa","Florida",20000,179,105,74,58.66,41.34
"Wells Fargo Center","Philadelphia","PA",NULL,179,105,74,58.66,41.34
"1st Bank Center","Broomfield","Colorado",0,179,105,74,58.66,41.34
"Uptown Theater","Kansas City","MO",1700,237,139,98,58.65,41.35
"Toyota Center","Houston","TX",NULL,162,95,67,58.64,41.36
"Country Club","Los Angeles","California",0,29,17,12,58.62,41.38
"Ratiopharm Arena","Neu-Ulm",NULL,NULL,29,17,12,58.62,41.38
"Selçuklu Kongre Merkezi","Konya",NULL,1837,29,17,12,58.62,41.38
"The King of Clubs","Columbus","Ohio",850,232,136,96,58.62,41.38
"Brighton Prince Albert","Brighton",NULL,NULL,29,17,12,58.62,41.38
"MAC650 Gallery","Middletown","CT",NULL,29,17,12,58.62,41.38
"Brooklyn Academy of Music (BAM)","New York","New York",0,29,17,12,58.62,41.38
"Florida Theatre - Jacksonville","Jacksonville","FL",NULL,174,102,72,58.62,41.38
"Rhizome","Washington","DC",NULL,58,34,24,58.62,41.38
"The Outland","Springfield","Missouri",0,29,17,12,58.62,41.38
"Congress Centrum Suhl (CCS)","Suhl",NULL,NULL,29,17,12,58.62,41.38
"Auditorium Theatre, Roosevelt University","Chicago","IL",NULL,29,17,12,58.62,41.38
"The Asylum","Birmingham",NULL,NULL,87,51,36,58.62,41.38
"DeltaPlex Arena & Conference Center","Grand Rapids","Michigan",0,174,102,72,58.62,41.38
"Nashville Municipal Auditorium","Nashville","TN",NULL,58,34,24,58.62,41.38
"The Rust Belt","East Moline","IL",NULL,58,34,24,58.62,41.38
"GETEC Arena Magdeburg","Magdeburg",NULL,NULL,29,17,12,58.62,41.38
"White Oak Amphitheatre","Greensboro","North Carolina",7600,29,17,12,58.62,41.38
"Joe's Live","Rosemont","Illinois",2000,58,34,24,58.62,41.38
"Pensacola Bay Center","Pensacola","FL",NULL,29,17,12,58.62,41.38
"The Wiltern","Los Angeles (LA)","CA",2300,116,68,48,58.62,41.38
"Jazzhus Montmartre","Copenhagen",NULL,NULL,29,17,12,58.62,41.38
"4th Street Live!","Louisville","Kentucky",0,58,34,24,58.62,41.38
"Morris Performing Arts Center","South Bend","IN",NULL,29,17,12,58.62,41.38
"Live Oak Bank Pavilion","Wilmington","NC",NULL,29,17,12,58.62,41.38
"Unknown venue","Myrtle Beach","SC",NULL,29,17,12,58.62,41.38
"St. Andrews","Detroit","Michigan",0,29,17,12,58.62,41.38
"Rudyard's","Houston","Texas",0,29,17,12,58.62,41.38
"Jake's Sports Cafe Back Room","Lubbock","TX",NULL,29,17,12,58.62,41.38
"Dwell","Washington","DC",NULL,29,17,12,58.62,41.38
"Fireside Bowl","Chicago","Illinois",0,244,143,101,58.61,41.39
"The Village","Little Rock","Arkansas",0,157,92,65,58.60,41.40
"The Outland Ballroom","Springfield","MO",NULL,186,109,77,58.60,41.40
"First Interstate Arena","Billings","Montana",0,99,58,41,58.59,41.41
"The Face Bar","Reading",NULL,NULL,70,41,29,58.57,41.43
"Carnegie Hall, Stern Auditorium / Perelman Stage","New York","NY",NULL,70,41,29,58.57,41.43
"Jammin' Java","Vienna","VA",200,630,369,261,58.57,41.43
"Starline Social Club Ballroom","Oakland","CA",NULL,70,41,29,58.57,41.43
"Gruene Hall","New Braunfels","Texas",500,70,41,29,58.57,41.43
"The Colosseum at Caesars Palace","Las Vegas","NV",4100,473,277,196,58.56,41.44
"1904 Music Hall","Jacksonville","FL",NULL,222,130,92,58.56,41.44
"Stubbs BBQ","Austin","TX",NULL,111,65,46,58.56,41.44
"The Heights Theater","Houston","Texas",0,41,24,17,58.54,41.46
"Duffy's Tavern","Toronto","ON",NULL,41,24,17,58.54,41.46
"The Stomping Ground","Putnam","CT",65,41,24,17,58.54,41.46
"Spider House Ballroom and Spider House","Austin","TX",NULL,41,24,17,58.54,41.46
"Tucson Music Hall","Tucson","AZ",NULL,41,24,17,58.54,41.46
"Historic Scoot Inn","Austin","Texas",1050,41,24,17,58.54,41.46
"Reno Hilton Amphitheatre","Reno","Nevada",0,41,24,17,58.54,41.46
"Knitting Factory Concert House","Spokane","WA",1500,328,192,136,58.54,41.46
"The Big Legrowlski","Portland","OR",NULL,41,24,17,58.54,41.46
"Philharmonie Haarlem","Haarlem",NULL,NULL,41,24,17,58.54,41.46
"Myth Live","St. Paul","MN",NULL,41,24,17,58.54,41.46
"Spillestedet Stengade","Copenhagen",NULL,NULL,41,24,17,58.54,41.46
"The Dunsmore Jazz Room","Minneapolis","MN",NULL,135,79,56,58.52,41.48
"Orpheum Theater","Flagstaff","AZ",NULL,188,110,78,58.51,41.49
"Greenfield Lake Amphitheater","Wilmington","North Carolina",1200,94,55,39,58.51,41.49
"The Tabernacle","Atlanta","GA",2500,347,203,144,58.50,41.50
"Saturn","Birmingham","AL",NULL,347,203,144,58.50,41.50
"Rival","Stockholm",NULL,NULL,53,31,22,58.49,41.51
"The Observatory OC","Santa Ana","California",0,53,31,22,58.49,41.51
"The Basement","Belconnen","ACT",NULL,106,62,44,58.49,41.51
"Boiler Shop","Newcastle Upon Tyne",NULL,NULL,118,69,49,58.47,41.53
"Hudson Theatre","New York","New York",0,118,69,49,58.47,41.53
"Siberia","New Orleans","Louisiana",0,65,38,27,58.46,41.54
"KKL Luzern","Luzern",NULL,1800,65,38,27,58.46,41.54
"Music Hall","Portsmouth","NH",NULL,65,38,27,58.46,41.54
"Feinstein's at Vitello's","Studio City","CA",NULL,65,38,27,58.46,41.54
"Fitzgerald Theater","St. Paul","MN",NULL,65,38,27,58.46,41.54
"Druid City Music Hall","Tuscaloosa","Alabama",0,77,45,32,58.44,41.56
"Pechanga Resort Casino","Temecula","California",1200,77,45,32,58.44,41.56
"Healer","Indianapolis","IN",NULL,77,45,32,58.44,41.56
"Fairfield Theatre Company (FTC)","Fairfield","CT",225,77,45,32,58.44,41.56
"Felsenkeller","Leipzig",NULL,NULL,89,52,37,58.43,41.57
"Pabst Theatre","Milwaukee","WI",NULL,166,97,69,58.43,41.57
"South Florida Fairgrounds","West Palm Beach","Florida",0,89,52,37,58.43,41.57
"Paycom Center","Oklahoma City","Oklahoma",18203,238,139,99,58.40,41.60
"Baltimore Soundstage","Baltimore","MD",700,531,310,221,58.38,41.62
"The Live Rooms","Chester",NULL,NULL,185,108,77,58.38,41.62
"Webster Theater","Hartford","Connecticut",1200,1242,725,517,58.37,41.63
"Brew River","Salisbury","MD",NULL,24,14,10,58.33,41.67
"KeyBank State Theatre","Cleveland","OH",NULL,24,14,10,58.33,41.67
"Matthew Knight Arena","Eugene","OR",NULL,24,14,10,58.33,41.67
"Arena Trier","Trier",NULL,NULL,24,14,10,58.33,41.67
"Stranahan Theater","Toledo","Ohio",2424,72,42,30,58.33,41.67
"Liberty Hall Theatre","Dublin",NULL,NULL,24,14,10,58.33,41.67
"River's Edge Park","Somerset","Wisconsin",0,24,14,10,58.33,41.67
"Unknown venue","Hradec Králové",NULL,NULL,24,14,10,58.33,41.67
"St James Wine Vaults","Bath",NULL,NULL,24,14,10,58.33,41.67
"F-Haus","Jena",NULL,NULL,60,35,25,58.33,41.67
"The Crayola House","Harrisonburg","VA",NULL,24,14,10,58.33,41.67
"24 Kitchen Street","Liverpool",NULL,NULL,84,49,35,58.33,41.67
"Unknown venue","Cartagena",NULL,NULL,24,14,10,58.33,41.67
"Unknown venue","Augusta","GA",NULL,24,14,10,58.33,41.67
"Lakeview Amphitheater","Syracuse","NY",NULL,48,28,20,58.33,41.67
"The Opium Rooms","Dublin",NULL,NULL,24,14,10,58.33,41.67
"Rock City","Camarillo","California",0,24,14,10,58.33,41.67
"Syracuse University","Syracuse","New York",0,48,28,20,58.33,41.67
"Oh Yeah Music Centre","Belfast",NULL,400,48,28,20,58.33,41.67
"Cowboys Stadium","Arlington","Texas",0,24,14,10,58.33,41.67
"O2 Academy 2 Birmingham","Birmingham",NULL,600,132,77,55,58.33,41.67
"Impérial de Québec","Québec","QC",NULL,72,42,30,58.33,41.67
"Unknown venue","Brno",NULL,NULL,36,21,15,58.33,41.67
"Bus Palladium","Paris",NULL,NULL,24,14,10,58.33,41.67
"Rockhal Club","Esch Sur Alzette",NULL,1200,48,28,20,58.33,41.67
"Mid south coliseum","Memphis","Tennessee",0,24,14,10,58.33,41.67
"Firefly Distillery","North Charleston","South Carolina",150,24,14,10,58.33,41.67
"The Burren","Somerville","MA",NULL,48,28,20,58.33,41.67
"Washington State Fair Events Center","Puyallup","WA",0,24,14,10,58.33,41.67
"The Capitol Room, HMAC","Harrisburg","Pennsylvania",1200,24,14,10,58.33,41.67
"Le Theatre Des Arts","Las Vegas","Nevada",0,36,21,15,58.33,41.67
"Social Hall SF","San Francisco","CA",600,24,14,10,58.33,41.67
"Théâtre Hector-Charland","L'Assomption","QC",651,24,14,10,58.33,41.67
"BSP","Kingston","NY",NULL,24,14,10,58.33,41.67
"Leadbelly","Newtown","NSW",NULL,24,14,10,58.33,41.67
"El Cortez","Brooklyn","NY",NULL,24,14,10,58.33,41.67
"The Other Side","Kearney","NE",NULL,36,21,15,58.33,41.67
"The Back Room @ Colectivo","Milwaukee","Wisconsin",0,24,14,10,58.33,41.67
"CBGB & OMFUG","New York","New York",0,216,126,90,58.33,41.67
"Dick's Sporting Goods Park","Commerce City","CO",NULL,24,14,10,58.33,41.67
"Exeter Cavern","Exeter",NULL,NULL,24,14,10,58.33,41.67
"West Capitol Lawn","Washington","District of Columbia",0,24,14,10,58.33,41.67
"Diesel Concert Theater","Chesterfield","Michigan",0,24,14,10,58.33,41.67
"Heights Theater","Houston","Texas",0,24,14,10,58.33,41.67
"Elevation 27","Virginia Beach","VA",NULL,216,126,90,58.33,41.67
"Le Dôme","Marseille",NULL,NULL,48,28,20,58.33,41.67
"Boozers Rock Bar","Corpus Christi","TX",NULL,24,14,10,58.33,41.67
"Big Blue Brewing","Cape Coral","FL",NULL,24,14,10,58.33,41.67
"Zorlu PSM Studio","Istanbul",NULL,NULL,127,74,53,58.27,41.73
"Raceway Park","Englishtown","New Jersey",0,218,127,91,58.26,41.74
"Spectrum Center","Charlotte","NC",NULL,103,60,43,58.25,41.75
"The Middle East - Downstairs","Cambridge","MA",550,364,212,152,58.24,41.76
"The Empty Bottle","Chicago","Illinois",400,237,138,99,58.23,41.77
"Elliott Hall of Music","West Lafayette","Indiana",0,79,46,33,58.23,41.77
"The Crepe Place","Santa Cruz","CA",NULL,158,92,66,58.23,41.77
"Starwood Amphitheatre","Nashville","Tennessee",0,146,85,61,58.22,41.78
"Outer Limits Lounge","Detroit","MI",NULL,67,39,28,58.21,41.79
"Masonic Temple","Detroit","Michigan",4400,457,266,191,58.21,41.79
"Gila River Arena","Glendale","AZ",NULL,67,39,28,58.21,41.79
"The Met","Pawtucket","RI",600,67,39,28,58.21,41.79
"Torch Club","Sacramento","CA",NULL,67,39,28,58.21,41.79
"Velvet Jones","Santa Barbara","CA",NULL,122,71,51,58.20,41.80
"Hard Rock Live Sacramento","Wheatland","California",0,122,71,51,58.20,41.80
"Hoosier Dome","Indianapolis","IN",NULL,177,103,74,58.19,41.81
"Troxy","London",NULL,2600,55,32,23,58.18,41.82
"No Fun","Portland","OR",NULL,55,32,23,58.18,41.82
"Junkyard","Dortmund",NULL,NULL,110,64,46,58.18,41.82
"Pappy And Harriet's Pioneertown Palace","Pioneertown","California",0,196,114,82,58.16,41.84
"Cavern Club","Exeter",NULL,220,294,171,123,58.16,41.84
"Västerås Konserthus","Västerås",NULL,NULL,98,57,41,58.16,41.84
"The Vanguard","Newtown","NSW",NULL,86,50,36,58.14,41.86
"Commonwealth Bar & Stage","Calgary","AB",NULL,43,25,18,58.14,41.86
"The Fremont Theater","San Luis Obispo","CA",NULL,172,100,72,58.14,41.86
"Met Center","Minneapolis","Minnesota",20000,43,25,18,58.14,41.86
"Epic Event Center","Minneapolis","Minnesota",0,43,25,18,58.14,41.86
"Unknown venue","Winnipeg","MB",NULL,43,25,18,58.14,41.86
"Unknown venue","Kassel",NULL,NULL,43,25,18,58.14,41.86
"The Crofoot Ballroom","Pontiac","Michigan",0,633,368,265,58.14,41.86
"Barnhill Arena, University of Arkansas","Fayetteville","Arkansas",0,43,25,18,58.14,41.86
"Ground Zero","Spartanburg","SC",NULL,86,50,36,58.14,41.86
"The Loading Dock *new Address*","Salt Lake City","UT",NULL,43,25,18,58.14,41.86
"Slow Club","Freiburg",NULL,NULL,43,25,18,58.14,41.86
"TD Pavilion at the Mann","Philadelphia","Pennsylvania",0,320,186,134,58.13,41.88
"Record Junkee","Sheffield",NULL,NULL,160,93,67,58.13,41.88
"Head of Steam - Newcastle","Newcastle Upon Tyne",NULL,NULL,160,93,67,58.13,41.88
"O2 Academy 2 Oxford","Oxford",NULL,436,191,111,80,58.12,41.88
"Riviera Theatre","Chicago","Illinois",0,1373,798,575,58.12,41.88
"Desert Sky Pavilion","Phoenix","Arizona",0,74,43,31,58.11,41.89
"Redding Civic Auditorium","Redding","California",2000,74,43,31,58.11,41.89
"Town Hall","New York","NY",1500,136,79,57,58.09,41.91
"Spark Arena","Auckland",NULL,NULL,136,79,57,58.09,41.91
"Westworld of Scottsdale","Scottsdale","Arizona",0,62,36,26,58.06,41.94
"Allotment","Manchester",NULL,300,31,18,13,58.06,41.94
"Clark County Fairgrounds","Ridgefield","Washington",0,31,18,13,58.06,41.94
"The Studio","Auckland",NULL,NULL,31,18,13,58.06,41.94
"O'Malley's Sports Bar","Margate","FL",0,31,18,13,58.06,41.94
"High Dive","Milwaukee","WI",NULL,31,18,13,58.06,41.94
"Sapphire Room, Riverside Hotel","Boise","ID",150,31,18,13,58.06,41.94
"Barfly","Montreal","QC",NULL,31,18,13,58.06,41.94
"Spokane Arena","Spokane","WA",NULL,31,18,13,58.06,41.94
"Logan Campbell Centre","Auckland",NULL,NULL,31,18,13,58.06,41.94
"The Spot","Chattanooga","TN",NULL,31,18,13,58.06,41.94
"The Acheron","New York","New York",0,31,18,13,58.06,41.94
"Theaterhaus - T1","Stuttgart",NULL,NULL,31,18,13,58.06,41.94
"G Livelab","Tampere",NULL,NULL,31,18,13,58.06,41.94
"Den Grå Hal","Copenhagen",NULL,NULL,31,18,13,58.06,41.94
"The Backstage at Championship Bar","Trenton","New Jersey",0,31,18,13,58.06,41.94
"Apohadion Theater","Portland","ME",NULL,31,18,13,58.06,41.94
"Heymann Performing Arts Center","Lafayette","LA",NULL,31,18,13,58.06,41.94
"The Bellwether","Los Angeles","California",0,124,72,52,58.06,41.94
"The Music Hall","Portsmouth","New Hampshire",0,62,36,26,58.06,41.94
"Cafe de Meister","Geleen",NULL,NULL,31,18,13,58.06,41.94
"Goldsounds","Brooklyn","NY",NULL,31,18,13,58.06,41.94
"Sugar City","Buffalo","NY",NULL,31,18,13,58.06,41.94
"The Brass Monkey","Nepean","ON",NULL,31,18,13,58.06,41.94
"Konzerthaus","Ravensburg",NULL,NULL,31,18,13,58.06,41.94
"Empire Theatre","Belleville","ON",NULL,31,18,13,58.06,41.94
"State Theatre","Portland","ME",NULL,298,173,125,58.05,41.95
"Kingston Mines - Chicago Blues Center","Chicago","IL",NULL,224,130,94,58.04,41.96
"SWX","Bristol",NULL,NULL,212,123,89,58.02,41.98
"Bronco Bowl","Dallas","Texas",0,293,170,123,58.02,41.98
"Grand Theatre","Reno","Nevada",0,131,76,55,58.02,41.98
"Mountain Health Arena","Huntington","West Virginia",0,181,105,76,58.01,41.99
"Charm City Art Space","Baltimore","Maryland",0,50,29,21,58.00,42.00
"Yardbirds","Grimsby",NULL,NULL,50,29,21,58.00,42.00
"The Wisco","Madison","WI",NULL,50,29,21,58.00,42.00
"The Star Inn","Guildford",NULL,NULL,100,58,42,58.00,42.00
"Continental","New York","New York",0,50,29,21,58.00,42.00
"Le Theatre Des Arts","Las Vegas","NV",NULL,50,29,21,58.00,42.00
"Chop Suey","Seattle","WA",NULL,419,243,176,58.00,42.00
"Channel 24","Sacramento","California",0,50,29,21,58.00,42.00
"Varsity Theatre","Baton Rouge","LA",800,169,98,71,57.99,42.01
"The 8x10","Baltimore","MD",NULL,119,69,50,57.98,42.02
"Musikkens Hus","Aalborg",NULL,NULL,119,69,50,57.98,42.02
"Auditorium Theatre","Chicago","Illinois",0,188,109,79,57.98,42.02
"Mission Ballroom,","Denver","CO",NULL,257,149,108,57.98,42.02
"The Culture Room","Fort Lauderdale","Florida",650,69,40,29,57.97,42.03
"The Fenix","Seattle","Washington",0,69,40,29,57.97,42.03
"Akademia CLUB","Wrocław",NULL,NULL,69,40,29,57.97,42.03
"The Mission Theater","Chicago","IL",140,69,40,29,57.97,42.03
"Les Schwab Amphitheater","Bend","OR",NULL,69,40,29,57.97,42.03
"Unknown venue","Paris",NULL,NULL,245,142,103,57.96,42.04
"Starline Social Club","Oakland","CA",400,157,91,66,57.96,42.04
"Peace Center for the Performing Arts","Greenville","SC",NULL,38,22,16,57.89,42.11
"Tralf Music Hall","Buffalo","NY",NULL,95,55,40,57.89,42.11
"Melnā Piektdiena","Riga",NULL,NULL,38,22,16,57.89,42.11
"Musicbox","Lisbon",NULL,NULL,57,33,24,57.89,42.11
"Unknown venue","Tampere",NULL,NULL,38,22,16,57.89,42.11
"Ostra-studios","Dresden",NULL,NULL,38,22,16,57.89,42.11
"River City Casino and Hotel","St Louis","MO",NULL,76,44,32,57.89,42.11
