"venue_name","venue_city","venue_state","venue_capacity","total_events","prime_night_events","off_night_events","prime_night_share","off_night_share"
"Celebrities Nightclub Underground","Vancouver","BC",NULL,28,28,0,100.00,0.00
"Silverton Hotel & Casino","Las Vegas","Nevada",0,26,26,0,100.00,0.00
"Silver Saloon","Terrell","TX",NULL,88,88,0,100.00,0.00
"Bumbershoot 2017","Seattle","Washington",0,35,35,0,100.00,0.00
"Hollywood Casino","Charles Town","West Virginia",400,24,24,0,100.00,0.00
"Bumbershoot 2008","Seattle","Washington",0,20,20,0,100.00,0.00
"Bumbershoot 2003","Seattle","Washington",0,25,25,0,100.00,0.00
"Centenial Olympic Park","Atlanta","Georgia",0,63,63,0,100.00,0.00
"Edc Tinker Field","Orlando","Florida",0,25,25,0,100.00,0.00
"Me & Thee Coffeehouse, Unitarian Church","Marblehead","MA",NULL,30,30,0,100.00,0.00
"Buku Music and Art Project","New Orleans","Louisiana",0,35,35,0,100.00,0.00
"5th Street Beach Stage","Virginia Beach","Virginia",0,28,28,0,100.00,0.00
"East Village / Imperial & 14th","San Diego","California",0,23,23,0,100.00,0.00
"El Galaxy Sports Bar & Grill","Austell","GA",NULL,26,26,0,100.00,0.00
"Silverdome Parking Lot","Pontiac","Michigan",0,24,24,0,100.00,0.00
"East Village","San Diego","California",0,24,24,0,100.00,0.00
"Wiley Park","Galva","IL",NULL,20,20,0,100.00,0.00
"Texas Motorplex","Ennis","Texas",0,20,20,0,100.00,0.00
"Elia Beach Club","Las Vegas","NV",NULL,20,20,0,100.00,0.00
"Sigmund Stern Recreation Grove","San Francisco","California",0,22,22,0,100.00,0.00
"Mister East Nightclub","Roselle","NJ",NULL,46,46,0,100.00,0.00
"Sigmund Stern Grove","San Francisco","California",0,30,30,0,100.00,0.00
"MoMA PS1","New York","New York",0,34,34,0,100.00,0.00
"787 Windsor","Atlanta","Georgia",0,30,30,0,100.00,0.00
"7 Clans First Council Casino Hotel","Newkirk","OK",NULL,26,26,0,100.00,0.00
"Hope Works","Sheffield",NULL,NULL,20,20,0,100.00,0.00
"B58","Brunswick",NULL,NULL,34,34,0,100.00,0.00
"Elk Creek Café & Aleworks","Millheim","PA",NULL,21,21,0,100.00,0.00
"Central Field @ Forest Park","St Louis","Missouri",0,63,63,0,100.00,0.00
"Wild Adventures Theme And Water Park","Valdosta","Georgia",0,40,40,0,100.00,0.00
"Central Field, Forest Park","St Louis","Missouri",0,59,59,0,100.00,0.00
"Money Baby","Las Vegas","NV",NULL,33,33,0,100.00,0.00
"Wicker Park Fest","Chicago","Illinois",0,23,23,0,100.00,0.00
"Wicker Park","Chicago","Illinois",0,42,42,0,100.00,0.00
"Trump Marina","Atlantic City","New Jersey",0,28,28,0,100.00,0.00
"Central Florida Fairgrounds, Orlando, Florida","Orlando","Florida",0,20,20,0,100.00,0.00
"Grand Casino Hinckley Events & Convention Center","Hinckley","MN",NULL,30,30,0,100.00,0.00
"Central Iowa Expo","Boone","Iowa",0,24,24,0,100.00,0.00
"Horseshoe Casino's Bluesville","Robinsonville","MS",NULL,24,24,0,100.00,0.00
"Central Park Atlanta","Atlanta","Georgia",0,64,64,0,100.00,0.00
"The American Theatre","Hampton","VA",NULL,28,28,0,100.00,0.00
"Centre Culturel Gérard Philipe (CCGP)","Calais",NULL,NULL,24,24,0,100.00,0.00
"Showroom at Casino Arizona","Scottsdale","AZ",NULL,34,34,0,100.00,0.00
"El Maguey","Wilmington","DE",NULL,29,29,0,100.00,0.00
"Shoreline Waterfront","Long Beach","California",0,279,279,0,100.00,0.00
"Shooting Star Casino","Mahnomen","MN",NULL,23,23,0,100.00,0.00
"Shire Hall","Howden",NULL,NULL,20,20,0,100.00,0.00
"Hotel Wetterhorn","Interlaken",NULL,NULL,21,21,0,100.00,0.00
"Grady's 66 Pub","Yukon","OK",NULL,22,22,0,100.00,0.00
"Bryn Mawr Gazebo","Bryn Mawr","PA",NULL,33,33,0,100.00,0.00
"Shiley Acres","Inwood","West Virginia",0,48,48,0,100.00,0.00
"Sherwood Forest Faire","McDade","Texas",0,36,36,0,100.00,0.00
"Houston Raceway","Baytown","Texas",0,28,28,0,100.00,0.00
"Houston Raceway Park","Baytown","Texas",0,28,28,0,100.00,0.00
"Tropicana Atlantic City","Atlantic City","New Jersey",0,26,26,0,100.00,0.00
"Sherwood Forest Faire","Austin","Texas",0,27,27,0,100.00,0.00
"Bryan Glazer JCC","Tampa","Florida",0,23,23,0,100.00,0.00
"Shawnee Bluff Vineyard","Eldon","MO",NULL,26,26,0,100.00,0.00
